,genes,taxons,genes_with_Z-DNA,Max_z-score,Average_z-score
0,24,5,0,0.0,0.0
1,26,6,4,8323.257,259.96044210526316
60,25,6,0,0.0,0.0
134,27,6,0,0.0,0.0
161,23,5,0,0.0,0.0
180,24,5,1,766.6232,20.174294736842104
286,32,6,3,883.5764,42.49633421052632
297,59,8,6,3993.322,342.3366263157895
578,23,6,0,0.0,0.0
583,30,5,6,1037.253,73.80015263157895
637,37,7,1,883.5764,23.25201052631579
644,34,7,0,0.0,0.0
645,40,7,2,2183.574,81.36761842105264
660,29,8,3,883.5764,66.67831578947369
669,36,7,5,907.7149,65.14107631578946
709,38,8,5,3428.529,240.74665789473684
720,24,6,2,826.8355,42.38575
739,49,8,3,1323.054,74.1858947368421
748,31,6,0,0.0,0.0
757,44,7,4,980.8116,46.437752631578945
760,27,5,0,0.0,0.0
767,36,7,3,2164.383,108.40451578947369
777,49,8,2,904.32,47.59578947368421
780,30,6,2,2752.447,93.05973684210527
781,41,7,5,1033.331,71.07185263157895
784,32,6,3,908.3955,47.81028947368421
790,26,6,1,783.823,20.626921052631577
794,42,8,0,0.0,0.0
795,24,6,2,980.8116,49.608726315789475
798,31,7,0,0.0,0.0
799,47,8,0,0.0,0.0
801,34,7,4,908.3955,67.78407631578948
855,44,8,3,3403.051,115.1902105263158
869,26,7,1,572.1842,15.057478947368422
870,24,7,1,2943.461,77.45949999999999
878,42,8,1,1571424.0,41353.26315789474
879,44,8,2,766.6232,40.34858947368421
892,30,6,2,2659.79,109.88223684210526
893,44,8,5,4325.003,199.3493789473684
894,38,7,1,2752.447,72.4328157894737
895,46,8,3,1733.503,94.68134210526314
897,44,8,4,6408.923,264.34069473684207
898,41,8,4,980.8116,89.16213157894737
900,37,7,1,904.32,23.797894736842107
906,27,6,1,1090.564,28.69905263157895
908,38,7,4,2997.09,158.51740789473683
909,32,6,1,712.187,18.741763157894738
918,28,6,4,6090.891,241.93166842105262
921,38,8,1,3428.529,90.22444736842105
922,44,8,3,883.5764,67.13094210526316
923,39,7,3,883.5764,61.07158421052632
924,29,6,2,2524.967,85.91886842105264
929,44,8,5,883.5764,109.67042368421052
988,28,6,5,904.32,67.67682631578947
991,26,5,2,66470.78,2229.4410526315787
997,29,5,1,2752.447,72.4328157894737
998,24,7,0,0.0,0.0
1000,37,7,5,18247.98,598.8072789473684
1001,43,8,2,883.5764,23.25201052631579
1002,44,8,3,865.283,41.33440789473684
1010,27,5,4,1469.169,113.2454157894737
1013,29,5,3,38833.58,1240.969394736842
1014,41,8,3,17718.99,512.1491447368422
1018,40,7,0,0.0,0.0
1021,30,5,1,1964.835,51.70618421052632
1022,51,8,0,0.0,0.0
1023,34,6,1,883.5764,23.25201052631579
1024,36,8,3,731.2843,19.244323684210528
1031,32,8,0,0.0,0.0
1039,38,7,5,3403.051,245.75711315789474
1043,37,7,4,1886.732,85.17851842105263
1044,37,7,2,1030.205,47.284952631578946
1045,37,7,0,0.0,0.0
1046,46,8,4,3428.529,227.60604999999998
1047,31,6,0,0.0,0.0
1051,31,6,1,883.5764,23.25201052631579
1052,39,7,2,966.8622,45.61803684210526
1055,25,7,1,12723.6,334.8315789473684
1081,32,6,3,908.3955,44.532065789473684
1082,32,6,0,0.0,0.0
1084,29,5,6,8922.646,345.5588552631579
1088,44,8,6,878.9641,103.7531605263158
1089,45,8,0,0.0,0.0
1090,46,8,1,2091.083,55.0285
1093,43,8,2,883.5764,39.3674
1095,42,8,2,1032.548,50.42432631578948
1098,47,8,2,883.5764,36.631005263157896
1099,44,8,4,3403.051,115.3648052631579
1101,29,5,9,2997.09,188.78574473684208
1102,46,8,2,908.3955,47.1571552631579
1104,27,5,2,3514.935,120.6997894736842
1105,44,8,6,2752.447,214.62166315789474
1106,44,8,7,8485.756,607.3262210526316
1107,41,8,3,16271.57,551.7584210526315
1109,31,7,7,5485.32,334.19537894736845
1110,32,6,0,0.0,0.0
1112,29,6,0,0.0,0.0
1116,44,8,3,1078.193,74.87752105263158
1117,43,8,2,2218.936,81.64506315789474
1124,32,6,0,0.0,0.0
1127,32,6,2,2183.574,81.36761842105264
1128,45,8,0,0.0,0.0
1130,39,7,2,826.2209,43.48531052631579
1135,27,6,2,783.823,34.731997368421055
1136,32,6,0,0.0,0.0
1137,30,8,6,3428.529,224.07936842105264
1138,38,7,2,3428.529,113.47645789473685
1144,35,8,3,1071.657,75.90453947368421
1145,46,8,12,3591.704,397.47936842105264
1149,31,6,2,2752.447,96.2307105263158
1151,44,8,4,980.8116,59.75020526315789
1152,46,8,2,6420.008,259.1720263157895
1153,23,7,1,783.823,20.626921052631577
1155,44,8,3,8485.756,259.5990526315789
1156,30,6,0,0.0,0.0
1158,44,8,1,783.823,20.626921052631577
1159,44,8,2,974.177,49.541381578947366
1160,39,7,3,883.5764,63.93435526315789
1161,47,8,0,0.0,0.0
1210,44,8,2,883.5764,43.878931578947366
1211,44,8,4,13072.54,384.94157368421054
1212,46,8,3,2752.447,118.93683684210527
1213,43,8,2,698.7317,18.387676315789474
1214,44,8,1,505.8732,13.312452631578948
1215,44,8,2,2752.447,86.82374736842105
1225,25,6,0,0.0,0.0
1227,44,8,4,4615.4,162.4925078947368
1228,44,8,0,0.0,0.0
1229,47,8,1,826.2209,21.742655263157896
1230,36,7,1,948.8341,24.969318421052634
1231,31,6,0,0.0,0.0
1232,29,5,0,0.0,0.0
1233,25,6,2,650.9198,34.258936842105264
1238,27,6,0,0.0,0.0
1239,44,8,0,0.0,0.0
1240,27,5,2,904.32,47.049905263157896
1241,31,6,2,883.5764,46.50402105263158
1245,44,8,2,8922.646,234.80647368421054
1246,44,8,11,13713.99,945.34035
1254,44,8,0,0.0,0.0
1255,24,7,5,3428.529,198.98343157894737
1258,37,7,1,650.9198,17.129468421052632
1259,44,8,2,74987.35,1995.1101447368424
1260,44,8,1,908.3955,23.905144736842104
1263,44,8,4,879.6214,81.39430789473685
1264,44,8,0,0.0,0.0
1265,38,7,1,980.8116,25.81083157894737
1266,32,6,0,0.0,0.0
1267,45,8,3,783.823,57.52180263157895
1272,27,6,1,883.5764,23.25201052631579
1273,40,8,2,2679.36,84.9004052631579
1275,25,6,3,848.0313,42.943534210526316
1276,37,7,1,980.8116,25.81083157894737
1278,44,8,1,783.823,20.626921052631577
1279,44,8,0,0.0,0.0
1280,44,8,2,2752.447,90.99661842105263
1281,46,8,1,3051.765,80.30960526315789
1283,39,7,2,3039.246,112.09213157894737
1285,44,8,1,783.823,20.626921052631577
1286,44,8,2,612.3848,32.23077894736842
1287,44,8,1,783.823,20.626921052631577
1288,37,7,5,2091.083,133.9546605263158
1290,43,8,1,3199087.0,84186.5
1291,44,8,4,826.2209,40.48441842105264
1292,44,8,4,980.8116,72.31485263157894
1293,44,8,4,3428.529,157.41729736842103
1294,44,8,2,3428.529,162.65726315789476
1295,44,8,0,0.0,0.0
1296,38,7,4,3428.529,145.25294736842105
1298,28,6,3,8485.756,243.4836631578947
1299,42,8,5,3428.529,153.79908947368423
1301,41,8,2,1430.8,54.86968947368422
1302,44,8,6,8575.808,509.372652631579
1303,44,8,2,2173.083,77.36068947368422
1304,44,8,11,12723.6,890.1385631578949
1314,36,7,3,783.823,35.479899999999994
1315,39,7,1,650.9198,17.129468421052632
1316,46,8,1,785.5658,20.672784210526316
1317,41,8,3,1248.717,70.50391578947368
1318,44,8,3,936.7831,65.03366578947369
1319,27,5,1,1030.205,27.11065789473684
1320,30,7,10,9300.843,565.726844736842
1321,44,8,1,712.187,18.741763157894738
1322,44,8,2,2143.653,79.66393157894736
1323,44,8,1,612.3848,16.11538947368421
1324,44,8,0,0.0,0.0
1325,44,8,4,1057.108,68.66462105263157
1332,26,7,2,883.5764,46.50402105263158
1352,45,8,4,13713.99,437.0202921052631
1354,44,8,2,907.7149,38.92304210526316
1355,44,8,2,1202.592,57.28339473684211
1356,38,7,4,766.6232,20.174294736842104
1358,27,6,1,2962.843,77.96955263157895
1359,39,7,2,3428.529,110.39874210526317
1360,25,5,1,883.5764,23.25201052631579
1361,44,8,4,783.823,61.05918421052631
1362,44,8,2,1469.169,61.91435263157896
1363,44,8,3,1323.054,80.80233684210526
1364,44,8,1,1469.169,38.66234210526316
1365,37,7,3,6565.992,214.22960789473683
1367,40,8,0,0.0,0.0
1368,37,7,1,650.9198,17.129468421052632
1369,36,7,3,13713.99,482.7418421052631
1370,44,8,3,1515.735,58.62952631578948
1371,27,6,5,2091.083,96.00847368421053
1372,29,5,3,583.4285,30.706763157894738
1373,44,8,3,883.5764,63.79654473684211
1374,44,8,10,29467.88,1586.2249842105264
1375,28,6,4,908.3955,91.03608684210526
1377,37,7,2,963.953,45.54147894736842
1379,39,8,3,980.8116,66.1923105263158
1380,25,7,3,1248.717,78.03428157894737
1381,28,6,2,883.5764,42.49633421052632
1382,44,8,1,865.283,22.770605263157893
1383,44,8,8,6090.891,293.15723157894735
1384,44,8,1,783.823,20.626921052631577
1385,44,8,2,1430.8,58.27955263157895
1386,42,8,3,2448.397,103.79889999999999
1387,32,6,3,1220.255,66.3709105263158
1388,44,8,7,1248.717,92.85529473684211
1390,29,5,1,2659.79,69.99447368421052
1391,29,6,4,27872.66,847.2235736842106
1392,45,8,0,0.0,0.0
1395,33,8,8,23787.35,781.4179263157895
1396,44,8,2,2640.374,90.11044736842105
1397,44,8,6,980.8116,82.85358421052632
1398,44,8,3,12351.13,381.2696184210526
1399,28,5,0,0.0,0.0
