# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	1	1389	+					dnaA	57971602	DK182_RS00005	1389		old_locus_tag=DK181_00005,DK181_RS00005
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	1	1389	+	WP_019769105.1	WP_019769105.1		chromosomal replication initiator protein DnaA	dnaA	57971602	DK182_RS00005	1389	462	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	1545	2681	+					dnaN	57971603	DK182_RS00010	1137		old_locus_tag=DK181_00010,DK181_RS00010
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	1545	2681	+	WP_019777046.1	WP_019777046.1		DNA polymerase III subunit beta	dnaN	57971603	DK182_RS00010	1137	378	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	3377	3568	+						57971604	DK182_RS00015	192		old_locus_tag=DK181_00015,DK181_RS00015
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	3377	3568	+	WP_002961258.1	WP_002961258.1		DUF951 family protein		57971604	DK182_RS00015	192	63	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	3565	4449	+						57971605	DK182_RS00020	885		old_locus_tag=DK181_00020,DK181_RS00020
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	3565	4449	+	WP_109833379.1	WP_109833379.1		diacylglycerol kinase		57971605	DK182_RS00020	885	294	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	4630	5745	+					ychF	57971606	DK182_RS00025	1116		old_locus_tag=DK181_00025,DK181_RS00025
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	4630	5745	+	WP_019776480.1	WP_019776480.1		redox-regulated ATPase YchF	ychF	57971606	DK182_RS00025	1116	371	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	6075	6644	+					pth	57971607	DK182_RS00030	570		old_locus_tag=DK181_00030,DK181_RS00030
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	6075	6644	+	WP_019769101.1	WP_019769101.1		aminoacyl-tRNA hydrolase	pth	57971607	DK182_RS00030	570	189	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	6637	10146	+					mfd	57971608	DK182_RS00035	3510		old_locus_tag=DK181_00035,DK181_RS00035
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	6637	10146	+	WP_109833380.1	WP_109833380.1		transcription-repair coupling factor	mfd	57971608	DK182_RS00035	3510	1169	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	10226	10498	+						57971609	DK182_RS00040	273		old_locus_tag=DK181_00040,DK181_RS00040
CDS	with_protein	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	10226	10498	+	WP_002959951.1	WP_002959951.1		RNA-binding S4 domain-containing protein		57971609	DK182_RS00040	273	90	
gene	protein_coding	GCF_003172975.1	Primary Assembly	chromosome		NZ_CP029491.1	10485	10859	+						57971610	DK182_RS00045	375		old_locus_tag=DK181_00045,DK181_RS00045
