# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	1830215	5	+							AWM75_RS00005	1191		old_locus_tag=AWM75_00005
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	1830215	5	+	WP_067980819.1	WP_067980819.1		hypothetical protein			AWM75_RS00005	1191	396	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	187	486	+							AWM75_RS00010	300		old_locus_tag=AWM75_00010
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	187	486	+	WP_067977129.1	WP_067977129.1		DUF1232 domain-containing protein			AWM75_RS00010	300	99	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	750	2036	+							AWM75_RS00015	1287		old_locus_tag=AWM75_00015
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	750	2036	+	WP_067977130.1	WP_067977130.1		hypothetical protein			AWM75_RS00015	1287	428	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	2188	3606	+							AWM75_RS00020	1419		old_locus_tag=AWM75_00020
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	2188	3606	+	WP_067977131.1	WP_067977131.1		AbgT family transporter			AWM75_RS00020	1419	472	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	3622	4800	+							AWM75_RS00025	1179		old_locus_tag=AWM75_00025
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	3622	4800	+	WP_067977132.1	WP_067977132.1		M20 family metallopeptidase			AWM75_RS00025	1179	392	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	4917	5345	-							AWM75_RS00030	429		old_locus_tag=AWM75_00030
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	4917	5345	-	WP_067977133.1	WP_067977133.1		MarR family transcriptional regulator			AWM75_RS00030	429	142	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	5471	6604	+							AWM75_RS00035	1134		old_locus_tag=AWM75_00035
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	5471	6604	+	WP_067977134.1	WP_067977134.1		ABC transporter permease			AWM75_RS00035	1134	377	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	6613	7281	+							AWM75_RS00040	669		old_locus_tag=AWM75_00040
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	6613	7281	+	WP_067977135.1	WP_067977135.1		ABC transporter ATP-binding protein			AWM75_RS00040	669	222	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	7611	8357	+							AWM75_RS00045	747		old_locus_tag=AWM75_00045
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	7611	8357	+	WP_067977136.1	WP_067977136.1		DUF4767 domain-containing protein			AWM75_RS00045	747	248	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	8436	9389	+							AWM75_RS00050	954		old_locus_tag=AWM75_00050
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	8436	9389	+	WP_067977137.1	WP_067977137.1		nucleoside hydrolase			AWM75_RS00050	954	317	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	9518	10123	+							AWM75_RS00055	606		old_locus_tag=AWM75_00055
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	9518	10123	+	WP_067977138.1	WP_067977138.1		DUF6198 family protein			AWM75_RS00055	606	201	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	10246	11025	-							AWM75_RS08675	780		old_locus_tag=AWM75_00060
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	10246	11025	-	WP_067977139.1	WP_067977139.1		phosphonoacetaldehyde hydrolase			AWM75_RS08675	780	259	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	11027	12052	-					phnW		AWM75_RS08680	1026		old_locus_tag=AWM75_00065
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	11027	12052	-	WP_240534637.1	WP_240534637.1		2-aminoethylphosphonate--pyruvate transaminase	phnW		AWM75_RS08680	1026	341	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	12142	13143	-							AWM75_RS08785	1002		old_locus_tag=AWM75_00070
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	12142	13143	-	WP_067977141.1	WP_067977141.1		extracellular solute-binding protein			AWM75_RS08785	1002	333	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	13186	14784	-							AWM75_RS08790	1599		old_locus_tag=AWM75_00075
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	13186	14784	-	WP_074572452.1	WP_074572452.1		ABC transporter permease subunit			AWM75_RS08790	1599	532	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	14794	15543	-							AWM75_RS00080	750		old_locus_tag=AWM75_00080
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	14794	15543	-	WP_067977142.1	WP_067977142.1		ABC transporter ATP-binding protein			AWM75_RS00080	750	249	
gene	pseudogene	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	15726	16490	+							AWM75_RS08820	765		pseudo
CDS	without_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	15726	16490	+				DeoR/GlpR family DNA-binding transcription regulator			AWM75_RS08820	765		pseudo
gene	tmRNA	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	16568	16934	+					ssrA		AWM75_RS00095	367		old_locus_tag=AWM75_00095
tmRNA		GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	16568	16934	+				transfer-messenger RNA	ssrA		AWM75_RS00095	367		
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	17567	18673	-							AWM75_RS00100	1107		old_locus_tag=AWM75_00100
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	17567	18673	-	WP_067977145.1	WP_067977145.1		alpha-hydroxy-acid oxidizing protein			AWM75_RS00100	1107	368	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	18744	20078	-							AWM75_RS00105	1335		old_locus_tag=AWM75_00105
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	18744	20078	-	WP_067977146.1	WP_067977146.1		FAD-binding oxidoreductase			AWM75_RS00105	1335	444	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	20529	20873	+							AWM75_RS00110	345		old_locus_tag=AWM75_00110
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	20529	20873	+	WP_067977147.1	WP_067977147.1		DUF2187 family protein			AWM75_RS00110	345	114	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	21090	22067	+							AWM75_RS00115	978		old_locus_tag=AWM75_00115
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	21090	22067	+	WP_200778301.1	WP_200778301.1		ketoacyl-ACP synthase III			AWM75_RS00115	978	325	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	22090	22314	+							AWM75_RS00120	225		old_locus_tag=AWM75_00120
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	22090	22314	+	WP_067977149.1	WP_067977149.1		acyl carrier protein			AWM75_RS00120	225	74	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	22360	23328	+					fabK		AWM75_RS00125	969		old_locus_tag=AWM75_00125
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	22360	23328	+	WP_067977150.1	WP_067977150.1		enoyl-[acyl-carrier-protein] reductase FabK	fabK		AWM75_RS00125	969	322	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	23481	24416	+					fabD		AWM75_RS00130	936		old_locus_tag=AWM75_00130
CDS	with_protein	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	23481	24416	+	WP_067977151.1	WP_067977151.1		ACP S-malonyltransferase	fabD		AWM75_RS00130	936	311	
gene	protein_coding	GCF_001543245.1	Primary Assembly	chromosome		NZ_CP014163.1	24420	25151	+							AWM75_RS00135	732		old_locus_tag=AWM75_00135
