# Species	Genes	Alg.-Conn.	Streptococcus_australis_protein.faa	Streptococcus_cristatus_protein.faa	Streptococcus_ferus_protein.faa	Streptococcus_koreensis_protein.faa	Streptococcus_sobrinus_protein.faa	aerococcus_1.faa	aerococcus_2.faa	aerococcus_3.faa	aerococcus_4.faa	aerococcus_5.faa	anoxybacillus_1.faa	anoxybacillus_2.faa	anoxybacillus_3.faa	anoxybacillus_4.faa	anoxybacillus_5.faa	enterococcus_durans_protein.faa	enterococcus_faecium_protein.faa	enterococcus_gilvus_protein.faa	enterococcus_lactis_protein.faa	enterococcus_raffinosus_protein.faa	paenibacillus_1.faa	paenibacillus_2.faa	paenibacillus_3.faa	paenibacillus_4.faa	paenibacillus_5.faa
24	24	0.00184	WP_006595320.1	WP_005591370.1	WP_018030401.1	WP_023024832.1	WP_002959952.1	WP_034258092.1	WP_060776828.1	WP_060778689.1	WP_067978375.1	WP_050774109.1	WP_009360762.1	WP_066322169.1	*	WP_181557389.1	WP_171567214.1	WP_016177743.1	WP_002287409.1	WP_010779620.1	WP_002290936.1	WP_010745331.1	WP_014372583.1	WP_038692851.1	WP_116234463.1	WP_162354776.1	WP_162640941.1
18	18	0.00863	WP_006596866.1	WP_005591835.1	WP_018030931.1	WP_006596866.1	WP_002961788.1	WP_026465397.1	WP_060776245.1	WP_060777993.1	WP_067979842.1	WP_003143564.1	WP_035065985.1	WP_066323571.1	*	WP_194519927.1	*	WP_005881053.1	WP_002294542.1	WP_114524710.1	WP_002291866.1	WP_010745915.1	*	*	*	*	*
9	9	0.0125	*	*	*	*	*	*	*	*	*	*	WP_035066981.1	WP_066325780.1	*	WP_194520546.1	WP_171564955.1	*	*	*	*	*	WP_014650807.1	WP_052098585.1	WP_152398285.1	WP_162356879.1	WP_162638894.1
18	18	0.00567	WP_048717662.1	WP_005591538.1	WP_040804182.1	WP_162614527.1	WP_002959513.1	WP_059134119.1	WP_060776143.1	WP_060778443.1	WP_067977674.1	WP_235585545.1	WP_035066767.1	WP_066326186.1	*	WP_194518909.1	*	WP_081134883.1	WP_002286176.1	WP_010781404.1	WP_002315635.1	WP_218256911.1	*	*	*	*	*
20	20	0.00711	*	WP_005590542.1	*	*	WP_109833727.1	WP_016897582.1	WP_060776291.1	WP_060778075.1	WP_067980020.1	WP_003143410.1	WP_033383404.1	WP_066325742.1	*	WP_194520540.1	*	WP_005875558.1	WP_002348809.1	WP_010779874.1	WP_002321579.1	WP_060789087.1	WP_014370062.1	WP_038696991.1	WP_076170879.1	WP_162356910.1	WP_162638872.1
6	6	0.0378	*	*	*	*	*	WP_059348315.1	*	*	*	*	*	*	*	WP_194519445.1	*	WP_081134334.1	*	*	*	*	WP_014372099.1	WP_038693590.1	WP_152399206.1	*	*
23	23	0.00542	WP_126403889.1	WP_005590819.1	WP_018029353.1	WP_120701163.1	WP_019769372.1	WP_026465319.1	WP_060776265.1	WP_060778095.1	WP_067980036.1	WP_003143401.1	WP_003398297.1	WP_066322863.1	*	WP_181556433.1	WP_230077358.1	WP_081135776.1	WP_002287156.1	WP_010781656.1	WP_002328966.1	WP_010746814.1	WP_014368677.1	*	WP_076175150.1	WP_225442540.1	WP_162643180.1
10	10	0.023	*	*	*	*	*	*	*	*	*	*	WP_009362536.1	WP_066323961.1	WP_127015762.1	WP_181557241.1	WP_171564697.1	*	*	*	*	*	WP_013919429.1	WP_038696630.1	WP_152402288.1	WP_162357194.1	WP_162638612.1
8	8	0.0191	*	*	WP_018030839.1	*	*	*	WP_060777235.1	WP_060778030.1	*	WP_003142867.1	*	*	*	*	*	WP_048945402.1	WP_010729269.1	WP_003128904.1	*	WP_218256160.1	*	*	*	*	*
20	20	0.00458	*	*	*	*	*	WP_003142588.1	WP_060776770.1	WP_060778765.1	WP_235585061.1	WP_003142588.1	WP_006322671.1	WP_066322097.1	WP_127018073.1	WP_181557446.1	WP_029101086.1	WP_005878996.1	WP_002294579.1	WP_010781356.1	WP_002309994.1	WP_010746478.1	WP_013921179.1	WP_038699041.1	WP_076176721.1	WP_161705055.1	WP_090649027.1
9	9	0.0251	*	*	*	*	*	*	*	*	*	*	WP_009360965.1	WP_066322626.1	*	WP_181555386.1	WP_230077507.1	*	*	*	*	*	WP_014368081.1	WP_235775592.1	WP_076174685.1	WP_162360064.1	WP_162642383.1
2	9	0.104	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_114525461.1,WP_114525879.1	*	WP_010745182.1,WP_028021004.1,WP_060789356.1,WP_070510161.1,WP_218256274.1,WP_218256649.1,WP_028021083.1	*	*	*	*	*
11	11	0.0181	*	WP_005591426.1	WP_018030353.1	*	WP_019772531.1	*	*	WP_060778817.1	*	*	*	*	*	*	WP_171565501.1	WP_081134202.1	WP_002286313.1	*	WP_002329598.1	*	*	*	WP_152397822.1	WP_162355261.1	WP_162640413.1
15	15	0.0162	WP_023024429.1	WP_005591116.1	WP_018030682.1	WP_023024429.1	WP_019770066.1	*	*	*	*	*	WP_026011506.1	WP_066326628.1	WP_127017007.1	WP_181554652.1	WP_171566643.1	WP_005878354.1	WP_002295087.1	WP_010781151.1	WP_002290800.1	WP_010744487.1	*	*	*	*	*
15	15	0.0333	*	*	*	*	*	*	*	*	*	*	WP_012576220.1	WP_066322548.1	WP_127017398.1	WP_181555352.1	WP_171564034.1	WP_005878400.1	WP_002295125.1	WP_010781125.1	WP_219273658.1	WP_010744515.1	WP_014653041.1	WP_038699896.1	WP_076176954.1	WP_162354940.1	WP_162640790.1
7	7	0.0116	*	*	*	*	*	WP_216818629.1	*	*	*	WP_003141153.1	*	*	*	*	*	*	*	*	*	WP_218257111.1	WP_014651794.1	*	WP_208837132.1	WP_162357791.1	WP_162644962.1
14	14	0.0156	*	*	*	*	*	WP_236747928.1	WP_060776314.1	WP_060778065.1	WP_067979987.1	WP_235585517.1	WP_035066945.1	WP_066325904.1	*	WP_181554222.1	WP_230076875.1	WP_081134413.1	WP_002298137.1	WP_114524227.1	WP_002290172.1	WP_218257171.1	*	*	*	*	*
18	18	0.0136	WP_126404004.1	WP_005590755.1	WP_018030162.1	WP_023022714.1	WP_019786287.1	WP_059349065.1	WP_082632717.1	WP_060777959.1	WP_067979755.1	WP_003141386.1	WP_035064956.1	WP_066323289.1	*	WP_194519827.1	*	WP_095443722.1	WP_002288958.1	WP_114524083.1	WP_002328913.1	WP_218256958.1	*	*	*	*	*
9	9	0.0194	*	*	*	*	*	*	*	*	*	*	WP_009373816.1	WP_066326010.1	*	WP_181554842.1	WP_171565570.1	*	*	*	*	*	WP_013916426.1	WP_038697203.1	WP_089548078.1	WP_162356733.1	WP_162638977.1
9	9	0.0034	*	*	*	*	*	WP_059348636.1	WP_060776432.1	WP_060777781.1	WP_067980495.1	WP_003141663.1	*	*	*	*	*	*	*	WP_114524680.1	*	WP_028020237.1	WP_013920377.1	*	WP_152401105.1	*	*
16	16	0.0135	WP_006595909.1	WP_005589464.1	WP_018030202.1	WP_006595909.1	WP_019769462.1	WP_026466183.1	WP_060777102.1	WP_013668516.1	WP_067977725.1	WP_003141945.1	WP_009361566.1	WP_066327721.1	*	WP_194519093.1	*	*	*	*	*	*	WP_013920928.1	WP_038698749.1	WP_145029836.1	*	*
5	5	0.0182	*	*	*	*	*	WP_059349236.1	WP_060776820.1	WP_060778697.1	WP_067978427.1	WP_050774122.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
5	5	0.0327	*	*	*	*	*	WP_059348514.1	WP_060776456.1	WP_060777755.1	WP_067979406.1	WP_003143509.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
6	6	0.0329	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_230076833.1	*	*	*	*	*	WP_014652209.1	WP_038695512.1	WP_152398381.1	WP_162358285.1	WP_162644390.1
5	5	0.0142	*	*	*	*	*	*	*	*	WP_067980103.1	*	*	*	*	*	*	WP_232509783.1	*	WP_114524589.1	WP_033607411.1	WP_218255863.1	*	*	*	*	*
2	6	0.104	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_044926420.1,WP_114525814.1,WP_114525881.1	*	WP_028020996.1,WP_218256849.1,WP_010745184.1	*	*	*	*	*
6	6	0.0268	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171564986.1	*	*	*	*	*	WP_241484563.1	WP_038697052.1	WP_152398297.1	WP_162356829.1	WP_162638922.1
6	6	0.0156	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_095443612.1	WP_002296707.1	*	*	*	WP_016362493.1	*	WP_152401736.1	WP_162355959.1	WP_162639693.1
