# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	334	1713	-							AWM76_RS00005	1380		old_locus_tag=AWM76_00005
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	334	1713	-	WP_039935463.1	WP_039935463.1		cation:dicarboxylase symporter family transporter			AWM76_RS00005	1380	459	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	1754	2677	-							AWM76_RS00010	924		old_locus_tag=AWM76_00010
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	1754	2677	-	WP_039935466.1	WP_039935466.1		LysR family transcriptional regulator			AWM76_RS00010	924	307	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	2763	3881	-							AWM76_RS00015	1119		old_locus_tag=AWM76_00015
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	2763	3881	-	WP_003142380.1	WP_003142380.1		PLP-dependent transferase			AWM76_RS00015	1119	372	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	4091	4960	-							AWM76_RS00020	870		old_locus_tag=AWM76_00020
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	4091	4960	-	WP_060779283.1	WP_060779283.1		VOC family protein			AWM76_RS00020	870	289	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	5248	6060	+							AWM76_RS00025	813		old_locus_tag=AWM76_00025
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	5248	6060	+	WP_060779284.1	WP_060779284.1		ZIP family metal transporter			AWM76_RS00025	813	270	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	6192	7175	-							AWM76_RS00030	984		old_locus_tag=AWM76_00030
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	6192	7175	-	WP_060779285.1	WP_060779285.1		L-lactate dehydrogenase			AWM76_RS00030	984	327	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	7386	7820	-							AWM76_RS00040	435		old_locus_tag=AWM76_00040
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	7386	7820	-	WP_003142826.1	WP_003142826.1		universal stress protein			AWM76_RS00040	435	144	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	7860	8294	-							AWM76_RS00045	435		old_locus_tag=AWM76_00045
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	7860	8294	-	WP_003142827.1	WP_003142827.1		universal stress protein			AWM76_RS00045	435	144	
gene	pseudogene	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	8573	9897	+							AWM76_RS10920	1325		pseudo
CDS	without_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	8573	9897	+				ISL3 family transposase			AWM76_RS10920	1325		pseudo
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	10256	11347	-							AWM76_RS00060	1092		old_locus_tag=AWM76_00060
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	10256	11347	-	WP_039936007.1	WP_039936007.1		M20/M25/M40 family metallo-hydrolase			AWM76_RS00060	1092	363	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	11481	11771	-							AWM76_RS00065	291		old_locus_tag=AWM76_00065
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	11481	11771	-	WP_003143639.1	WP_003143639.1		N-acetyltransferase			AWM76_RS00065	291	96	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	11934	12314	+							AWM76_RS00070	381		old_locus_tag=AWM76_00070
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	11934	12314	+	WP_003143637.1	WP_003143637.1		PH domain-containing protein			AWM76_RS00070	381	126	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	13131	14324	+							AWM76_RS00075	1194		old_locus_tag=AWM76_00075
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	13131	14324	+	WP_039936005.1	WP_039936005.1		coenzyme F420-0:L-glutamate ligase			AWM76_RS00075	1194	397	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	15042	15689	-					pcp		AWM76_RS00080	648		old_locus_tag=AWM76_00080
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	15042	15689	-	WP_003143633.1	WP_003143633.1		pyroglutamyl-peptidase I	pcp		AWM76_RS00080	648	215	
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	15701	16075	-							AWM76_RS00085	375		old_locus_tag=AWM76_00085
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	15701	16075	-	WP_081453844.1	WP_081453844.1		DUF979 family protein			AWM76_RS00085	375	124	
gene	pseudogene	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	16099	16212	-							AWM76_RS10660	114		partial;pseudo
CDS	without_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	16099	16212	-				DUF969 family protein			AWM76_RS10660	114		partial;pseudo
gene	protein_coding	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	16333	16878	-							AWM76_RS00090	546		old_locus_tag=AWM76_00090
CDS	with_protein	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	16333	16878	-	WP_039936008.1	WP_039936008.1		GNAT family N-acetyltransferase			AWM76_RS00090	546	181	
gene	rRNA	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	16964	17079	-					rrf		AWM76_RS00095	116		old_locus_tag=AWM76_00095
rRNA		GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	16964	17079	-				5S ribosomal RNA	rrf		AWM76_RS00095	116		
gene	rRNA	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	17159	20061	-							AWM76_RS00100	2903		old_locus_tag=AWM76_00100
rRNA		GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	17159	20061	-				23S ribosomal RNA			AWM76_RS00100	2903		
gene	rRNA	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	20298	21847	-							AWM76_RS00105	1550		old_locus_tag=AWM76_00105
rRNA		GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	20298	21847	-				16S ribosomal RNA			AWM76_RS00105	1550		
gene	rRNA	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	22740	22855	-					rrf		AWM76_RS00110	116		old_locus_tag=AWM76_00110
rRNA		GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	22740	22855	-				5S ribosomal RNA	rrf		AWM76_RS00110	116		
gene	rRNA	GCF_001543285.1	Primary Assembly	chromosome		NZ_CP014164.1	22943	25845	-							AWM76_RS00115	2903		old_locus_tag=AWM76_00115
