# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	1973428	8	+						35766970	AWM73_RS00005	843		old_locus_tag=AWM73_00005
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	1973428	8	+	WP_060779031.1	WP_060779031.1		hypothetical protein		35766970	AWM73_RS00005	843	280	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	1	360	+						62345993	AWM73_RS09085	360		old_locus_tag=AWM73_00010
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	1	360	+	WP_060777495.1	WP_060777495.1		hypothetical protein		62345993	AWM73_RS09085	360	119	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	452	1000	-						35766969	AWM73_RS00015	549		old_locus_tag=AWM73_00015
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	452	1000	-	WP_060777496.1	WP_060777496.1		cysteine hydrolase		35766969	AWM73_RS00015	549	182	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	1189	2136	+						35767487	AWM73_RS00020	948		old_locus_tag=AWM73_00020
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	1189	2136	+	WP_060777497.1	WP_060777497.1		DNA/RNA non-specific endonuclease		35767487	AWM73_RS00020	948	315	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	2165	2860	-						35767419	AWM73_RS00025	696		old_locus_tag=AWM73_00025
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	2165	2860	-	WP_060777498.1	WP_060777498.1		DUF1275 domain-containing protein		35767419	AWM73_RS00025	696	231	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	3024	3737	+						35767906	AWM73_RS00030	714		old_locus_tag=AWM73_00030
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	3024	3737	+	WP_060777499.1	WP_060777499.1		glycosyltransferase family 2 protein		35767906	AWM73_RS00030	714	237	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	4325	5131	+						35768307	AWM73_RS00035	807		old_locus_tag=AWM73_00035
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	4325	5131	+	WP_082702808.1	WP_082702808.1		threonine/serine exporter family protein		35768307	AWM73_RS00035	807	268	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	5124	5600	+						35767884	AWM73_RS00040	477		old_locus_tag=AWM73_00040
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	5124	5600	+	WP_060777500.1	WP_060777500.1		threonine/serine exporter family protein		35767884	AWM73_RS00040	477	158	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	5677	6888	-						35766859	AWM73_RS00045	1212		old_locus_tag=AWM73_00045
CDS	with_protein	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	5677	6888	-	WP_060777501.1	WP_060777501.1		amidohydrolase		35766859	AWM73_RS00045	1212	403	
gene	protein_coding	GCF_001543175.1	Primary Assembly	chromosome		NZ_CP014161.1	7078	7797	+						35767855	AWM73_RS00050	720		old_locus_tag=AWM73_00050
