# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	1	1356	+					dnaA	48422442	DQM67_RS00005	1356		old_locus_tag=NCTC12479_00001
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	1	1356	+	WP_005591378.1	WP_005591378.1		chromosomal replication initiator protein DnaA	dnaA	48422442	DQM67_RS00005	1356	451	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	1514	2650	+					dnaN	48422443	DQM67_RS00010	1137		old_locus_tag=NCTC12479_00002
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	1514	2650	+	WP_005591377.1	WP_005591377.1		DNA polymerase III subunit beta	dnaN	48422443	DQM67_RS00010	1137	378	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	2818	3012	+						48422444	DQM67_RS00015	195		old_locus_tag=NCTC12479_00003
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	2818	3012	+	WP_005591376.1	WP_005591376.1		DUF951 family protein		48422444	DQM67_RS00015	195	64	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	3253	3747	-						48422446	DQM67_RS00025	495		old_locus_tag=NCTC12479_00004
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	3253	3747	-	WP_005591375.1	WP_005591375.1		DUF1307 domain-containing protein		48422446	DQM67_RS00025	495	164	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	3914	5029	+					ychF	48422447	DQM67_RS00030	1116		old_locus_tag=NCTC12479_00005
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	3914	5029	+	WP_005592133.1	WP_005592133.1		redox-regulated ATPase YchF	ychF	48422447	DQM67_RS00030	1116	371	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	5102	5671	+					pth	48422448	DQM67_RS00035	570		old_locus_tag=NCTC12479_00006
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	5102	5671	+	WP_005591373.1	WP_005591373.1		aminoacyl-tRNA hydrolase	pth	48422448	DQM67_RS00035	570	189	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	5664	9167	+					mfd	48422449	DQM67_RS00040	3504		old_locus_tag=NCTC12479_00007
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	5664	9167	+	WP_005591372.1	WP_005591372.1		transcription-repair coupling factor	mfd	48422449	DQM67_RS00040	3504	1167	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	9256	9522	+						48422450	DQM67_RS00045	267		old_locus_tag=NCTC12479_00008
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	9256	9522	+	WP_005591371.1	WP_005591371.1		RNA-binding S4 domain-containing protein		48422450	DQM67_RS00045	267	88	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	9515	9883	+						48422451	DQM67_RS00050	369		old_locus_tag=NCTC12479_00009
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	9515	9883	+	WP_005591370.1	WP_005591370.1		septum formation initiator family protein		48422451	DQM67_RS00050	369	122	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	10007	11290	+						48422452	DQM67_RS00060	1284		old_locus_tag=NCTC12479_00010
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	10007	11290	+	WP_005591368.1	WP_005591368.1		serine hydrolase		48422452	DQM67_RS00060	1284	427	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	11287	12561	+					tilS	48422453	DQM67_RS00065	1275		old_locus_tag=NCTC12479_00011
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	11287	12561	+	WP_005591367.1	WP_005591367.1		tRNA lysidine(34) synthetase TilS	tilS	48422453	DQM67_RS00065	1275	424	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	12570	13112	+					hpt	48422454	DQM67_RS00070	543		old_locus_tag=NCTC12479_00012
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	12570	13112	+	WP_005591366.1	WP_005591366.1		hypoxanthine phosphoribosyltransferase	hpt	48422454	DQM67_RS00070	543	180	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	13130	15097	+					ftsH	48422455	DQM67_RS00075	1968		old_locus_tag=NCTC12479_00013
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	13130	15097	+	WP_005591365.1	WP_005591365.1		ATP-dependent zinc metalloprotease FtsH	ftsH	48422455	DQM67_RS00075	1968	655	
gene	protein_coding	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	15312	15794	+						48422456	DQM67_RS00080	483		old_locus_tag=NCTC12479_00014
CDS	with_protein	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	15312	15794	+	WP_005591364.1	WP_005591364.1		sigma-70 family RNA polymerase sigma factor		48422456	DQM67_RS00080	483	160	
gene	rRNA	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	16094	17640	+						48422457	DQM67_RS00090	1547		old_locus_tag=NCTC12479_00015
rRNA		GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	16094	17640	+				16S ribosomal RNA		48422457	DQM67_RS00090	1547		
gene	tRNA	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	17694	17766	+						48422458	DQM67_RS00095	73		old_locus_tag=NCTC12479_00016
tRNA		GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	17694	17766	+				tRNA-Ala		48422458	DQM67_RS00095	73		anticodon=TGC
gene	rRNA	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	17893	20790	+						48422459	DQM67_RS00100	2898		old_locus_tag=NCTC12479_00017
rRNA		GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	17893	20790	+				23S ribosomal RNA		48422459	DQM67_RS00100	2898		
gene	rRNA	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	20891	21006	+					rrf	48422460	DQM67_RS00105	116		old_locus_tag=NCTC12479_00018
rRNA		GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	20891	21006	+				5S ribosomal RNA	rrf	48422460	DQM67_RS00105	116		
gene	tRNA	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	21036	21108	+						48422461	DQM67_RS00110	73		old_locus_tag=NCTC12479_00019
tRNA		GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	21036	21108	+				tRNA-Val		48422461	DQM67_RS00110	73		anticodon=TAC
gene	tRNA	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	21113	21185	+						48422462	DQM67_RS00115	73		old_locus_tag=NCTC12479_00020
tRNA		GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	21113	21185	+				tRNA-Asp		48422462	DQM67_RS00115	73		anticodon=GTC
gene	tRNA	GCF_900475445.1	Primary Assembly	chromosome	1	NZ_LS483383.1	21216	21288	+						48422463	DQM67_RS00120	73		old_locus_tag=NCTC12479_00021
