# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	87	1433	+					dnaA		PSTEL_RS00005	1347		old_locus_tag=PSTEL_00005
CDS	with_protein	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	87	1433	+	WP_038692806.1	WP_038692806.1		chromosomal replication initiator protein DnaA	dnaA		PSTEL_RS00005	1347	448	
gene	protein_coding	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	1602	2744	+					dnaN		PSTEL_RS00010	1143		old_locus_tag=PSTEL_00010
CDS	with_protein	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	1602	2744	+	WP_038692807.1	WP_038692807.1		DNA polymerase III subunit beta	dnaN		PSTEL_RS00010	1143	380	
gene	protein_coding	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	2790	3017	+					yaaA		PSTEL_RS00015	228		old_locus_tag=PSTEL_00015
CDS	with_protein	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	2790	3017	+	WP_038692808.1	WP_038692808.1		S4 domain-containing protein YaaA	yaaA		PSTEL_RS00015	228	75	
gene	protein_coding	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	3168	4286	+					recF		PSTEL_RS00020	1119		old_locus_tag=PSTEL_00020
CDS	with_protein	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	3168	4286	+	WP_038692809.1	WP_038692809.1		DNA replication/repair protein RecF	recF		PSTEL_RS00020	1119	372	
gene	protein_coding	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	4307	4555	+							PSTEL_RS00025	249		old_locus_tag=PSTEL_00025
CDS	with_protein	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	4307	4555	+	WP_038692810.1	WP_038692810.1		DUF370 domain-containing protein			PSTEL_RS00025	249	82	
gene	protein_coding	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	4601	6511	+					gyrB		PSTEL_RS00030	1911		old_locus_tag=PSTEL_00030
CDS	with_protein	GCF_000758685.1	Primary Assembly	chromosome		NZ_CP009286.1	4601	6511	+	WP_038692811.1	WP_038692811.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		PSTEL_RS00030	1911	636	
