# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2015369	136	-						69879647	EL100_RS09725	143		partial;pseudo;old_locus_tag=NCTC3168_00001
CDS	without_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2015369	136	-				sporulation protein		69879647	EL100_RS09725	143		partial;pseudo
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	133	1110	-						61451721	EL100_RS00010	978		old_locus_tag=NCTC3168_00002
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	133	1110	-	WP_126404036.1	WP_126404036.1		YvcK family protein		61451721	EL100_RS00010	978	325	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	1107	2003	-					rapZ	61451722	EL100_RS00015	897		old_locus_tag=NCTC3168_00003
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	1107	2003	-	WP_126404035.1	WP_126404035.1		RNase adapter RapZ	rapZ	61451722	EL100_RS00015	897	298	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2115	2492	-						61451723	EL100_RS00020	378		old_locus_tag=NCTC3168_00004
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2115	2492	-	WP_126404034.1	WP_126404034.1		RidA family protein		61451723	EL100_RS00020	378	125	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2509	2670	-						61451724	EL100_RS00025	162		old_locus_tag=NCTC3168_00005
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2509	2670	-	WP_006596601.1	WP_006596601.1		hypothetical protein		61451724	EL100_RS00025	162	53	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2694	4007	-					obgE	61451725	EL100_RS00030	1314		old_locus_tag=NCTC3168_00006
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	2694	4007	-	WP_126404033.1	WP_126404033.1		GTPase ObgE	obgE	61451725	EL100_RS00030	1314	437	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4053	4184	-						61451726	EL100_RS00035	132		old_locus_tag=NCTC3168_00007
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4053	4184	-	WP_006596603.1	WP_006596603.1		DUF4044 domain-containing protein		61451726	EL100_RS00035	132	43	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4379	4462	-						69879648	EL100_RS09730	84		
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4379	4462	-	WP_232011432.1	WP_232011432.1		hypothetical protein		69879648	EL100_RS09730	84	27	
gene	pseudogene	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4633	4822	-						61451728	EL100_RS00045	190		partial;pseudo;old_locus_tag=NCTC3168_00008
CDS	without_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4633	4822	-				hypothetical protein		61451728	EL100_RS00045	190		partial;pseudo
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4899	5300	-						69879649	EL100_RS09735	402		old_locus_tag=NCTC3168_00009
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	4899	5300	-	WP_232011407.1	WP_232011407.1		hypothetical protein		69879649	EL100_RS09735	402	133	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	5364	5552	-						69879650	EL100_RS09740	189		
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	5364	5552	-	WP_232011408.1	WP_232011408.1		Ig-like domain-containing protein		69879650	EL100_RS09740	189	62	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	5467	5844	-						69879651	EL100_RS09745	378		old_locus_tag=NCTC3168_00010
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	5467	5844	-	WP_232011409.1	WP_232011409.1		hypothetical protein		69879651	EL100_RS09745	378	125	
gene	pseudogene	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	5887	7243	-					glmM	61451730	EL100_RS00055	1357		pseudo;old_locus_tag=NCTC3168_00011
CDS	without_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	5887	7243	-				phosphoglucosamine mutase	glmM	61451730	EL100_RS00055	1357		pseudo
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	7271	8011	-						61451731	EL100_RS00060	741		old_locus_tag=NCTC3168_00012
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	7271	8011	-	WP_126404030.1	WP_126404030.1		hypothetical protein		61451731	EL100_RS00060	741	246	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	8008	8856	-					cdaA	61451732	EL100_RS00065	849		old_locus_tag=NCTC3168_00013
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	8008	8856	-	WP_126404029.1	WP_126404029.1		diadenylate cyclase CdaA	cdaA	61451732	EL100_RS00065	849	282	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	9037	10377	+						61451733	EL100_RS00070	1341		old_locus_tag=NCTC3168_00014
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	9037	10377	+	WP_126404028.1	WP_126404028.1		Mur ligase family protein		61451733	EL100_RS00070	1341	446	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	10377	11165	+						61451734	EL100_RS00075	789		old_locus_tag=NCTC3168_00015
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	10377	11165	+	WP_126404027.1	WP_126404027.1		type 1 glutamine amidotransferase		61451734	EL100_RS00075	789	262	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	11175	11465	+						61451735	EL100_RS00080	291		old_locus_tag=NCTC3168_00016
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	11175	11465	+	WP_048717218.1	WP_048717218.1		LapA family protein		61451735	EL100_RS00080	291	96	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	11759	12946	-						61451736	EL100_RS00085	1188		old_locus_tag=NCTC3168_00017
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	11759	12946	-	WP_126404026.1	WP_126404026.1		MFS transporter		61451736	EL100_RS00085	1188	395	
gene	protein_coding	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	13057	14235	-						61451737	EL100_RS00090	1179		old_locus_tag=NCTC3168_00018
CDS	with_protein	GCF_900636505.1	Primary Assembly	chromosome		NZ_LR134285.1	13057	14235	-	WP_126404025.1	WP_126404025.1		MFS transporter		61451737	EL100_RS00090	1179	392	
