# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	1	1362	+					dnaA		B2K_RS00005	1362		
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	1	1362	+	WP_013913823.1	WP_013913823.1		chromosomal replication initiator protein DnaA	dnaA		B2K_RS00005	1362	453	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	1593	2735	+					dnaN		B2K_RS00010	1143		old_locus_tag=B2K_00010
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	1593	2735	+	WP_013913824.1	WP_013913824.1		DNA polymerase III subunit beta	dnaN		B2K_RS00010	1143	380	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	2748	2963	+					yaaA		B2K_RS00015	216		old_locus_tag=B2K_00015
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	2748	2963	+	WP_014368069.1	WP_014368069.1		S4 domain-containing protein YaaA	yaaA		B2K_RS00015	216	71	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	2963	4069	+					recF		B2K_RS00020	1107		old_locus_tag=B2K_00020
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	2963	4069	+	WP_013913826.1	WP_013913826.1		DNA replication/repair protein RecF	recF		B2K_RS00020	1107	368	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	4099	4347	+							B2K_RS00025	249		old_locus_tag=B2K_00025
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	4099	4347	+	WP_013913827.1	WP_013913827.1		DUF370 domain-containing protein			B2K_RS00025	249	82	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	4438	6351	+					gyrB		B2K_RS00030	1914		old_locus_tag=B2K_00030
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	4438	6351	+	WP_013913828.1	WP_013913828.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		B2K_RS00030	1914	637	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	6553	9060	+					gyrA		B2K_RS00035	2508		old_locus_tag=B2K_00035
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	6553	9060	+	WP_014648957.1	WP_014648957.1		DNA gyrase subunit A	gyrA		B2K_RS00035	2508	835	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	9204	10274	+							B2K_RS00040	1071		old_locus_tag=B2K_00040
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	9204	10274	+	WP_014648958.1	WP_014648958.1		HD-GYP domain-containing protein			B2K_RS00040	1071	356	
gene	rRNA	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	10552	12088	+							B2K_RS00045	1537		old_locus_tag=B2K_r38186
rRNA		GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	10552	12088	+				16S ribosomal RNA			B2K_RS00045	1537		
gene	rRNA	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12204	12320	+					rrf		B2K_RS00050	117		old_locus_tag=B2K_r38140
rRNA		GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12204	12320	+				5S ribosomal RNA	rrf		B2K_RS00050	117		
gene	tRNA	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12367	12443	+							B2K_RS00055	77		old_locus_tag=B2K_t37762
tRNA		GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12367	12443	+				tRNA-Ile			B2K_RS00055	77		anticodon=GAT
gene	tRNA	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12463	12538	+							B2K_RS00060	76		old_locus_tag=B2K_t37764
tRNA		GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12463	12538	+				tRNA-Ala			B2K_RS00060	76		anticodon=TGC
gene	rRNA	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12758	15670	+							B2K_RS00065	2913		old_locus_tag=B2K_r38178
rRNA		GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	12758	15670	+				23S ribosomal RNA			B2K_RS00065	2913		
gene	rRNA	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	15768	15884	+					rrf		B2K_RS00070	117		old_locus_tag=B2K_r38142
rRNA		GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	15768	15884	+				5S ribosomal RNA	rrf		B2K_RS00070	117		
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	16063	17520	+					guaB		B2K_RS00075	1458		old_locus_tag=B2K_00045
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	16063	17520	+	WP_014648959.1	WP_014648959.1		IMP dehydrogenase	guaB		B2K_RS00075	1458	485	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	17653	18957	+							B2K_RS00080	1305		old_locus_tag=B2K_38210
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	17653	18957	+	WP_041618131.1	WP_041618131.1		D-alanyl-D-alanine carboxypeptidase			B2K_RS00080	1305	434	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	19076	19957	+					pdxS		B2K_RS00085	882		old_locus_tag=B2K_00060
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	19076	19957	+	WP_013913833.1	WP_013913833.1		pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxS		B2K_RS00085	882	293	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	19998	20570	+					pdxT		B2K_RS00090	573		old_locus_tag=B2K_00065
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	19998	20570	+	WP_013913834.1	WP_013913834.1		pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT		B2K_RS00090	573	190	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	20582	21862	+					serS		B2K_RS00095	1281		old_locus_tag=B2K_00070
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	20582	21862	+	WP_014648960.1	WP_014648960.1		serine--tRNA ligase	serS		B2K_RS00095	1281	426	
gene	tRNA	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	21910	21999	+							B2K_RS00100	90		old_locus_tag=B2K_t37766
tRNA		GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	21910	21999	+				tRNA-Ser			B2K_RS00100	90		anticodon=TGA
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	22137	22487	+							B2K_RS00105	351		old_locus_tag=B2K_00075
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	22137	22487	+	WP_013913836.1	WP_013913836.1		hypothetical protein			B2K_RS00105	351	116	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	22505	22687	+							B2K_RS00110	183		old_locus_tag=B2K_00080
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	22505	22687	+	WP_013913837.1	WP_013913837.1		hypothetical protein			B2K_RS00110	183	60	
gene	protein_coding	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	22711	22854	+							B2K_RS00115	144		old_locus_tag=B2K_00085
CDS	with_protein	GCF_000258535.2	Primary Assembly	chromosome		NC_017672.3	22711	22854	+	WP_013913838.1	WP_013913838.1		hypothetical protein			B2K_RS00115	144	47	
