# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	263	820	+							GCU45_RS00005	558		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	263	820	+	WP_152397554.1	WP_152397554.1		GNAT family N-acetyltransferase			GCU45_RS00005	558	185	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	817	1473	+							GCU45_RS00010	657		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	817	1473	+	WP_152397555.1	WP_152397555.1		prolyl oligopeptidase family serine peptidase			GCU45_RS00010	657	218	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	1662	3890	+							GCU45_RS00015	2229		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	1662	3890	+	WP_244364339.1	WP_244364339.1		AraC family transcriptional regulator			GCU45_RS00015	2229	742	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	4097	5083	+							GCU45_RS00020	987		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	4097	5083	+	WP_152397556.1	WP_152397556.1		ABC transporter permease subunit			GCU45_RS00020	987	328	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	5152	6057	+							GCU45_RS00025	906		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	5152	6057	+	WP_152397557.1	WP_152397557.1		carbohydrate ABC transporter permease			GCU45_RS00025	906	301	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	6174	7892	+							GCU45_RS00030	1719		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	6174	7892	+	WP_152397558.1	WP_152397558.1		ABC transporter substrate-binding protein			GCU45_RS00030	1719	572	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	8155	9723	+							GCU45_RS00035	1569		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	8155	9723	+	WP_244364685.1	WP_244364685.1		catalase			GCU45_RS00035	1569	522	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	9756	10163	-							GCU45_RS00040	408		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	9756	10163	-	WP_152402652.1	WP_152402652.1		helix-turn-helix transcriptional regulator			GCU45_RS00040	408	135	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	10325	11455	+							GCU45_RS00045	1131		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	10325	11455	+	WP_244364341.1	WP_244364341.1		Gfo/Idh/MocA family oxidoreductase			GCU45_RS00045	1131	376	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	11563	12168	-					loaP		GCU45_RS00050	606		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	11563	12168	-	WP_152397560.1	WP_152397560.1		antiterminator LoaP	loaP		GCU45_RS00050	606	201	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	12517	13278	+							GCU45_RS00055	762		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	12517	13278	+	WP_152397561.1	WP_152397561.1		4'-phosphopantetheinyl transferase superfamily protein			GCU45_RS00055	762	253	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	13297	15696	+					fabD		GCU45_RS00060	2400		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	13297	15696	+	WP_152397562.1	WP_152397562.1		ACP S-malonyltransferase	fabD		GCU45_RS00060	2400	799	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	15804	25637	+							GCU45_RS00065	9834		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	15804	25637	+	WP_152397563.1	WP_152397563.1		SDR family NAD(P)-dependent oxidoreductase			GCU45_RS00065	9834	3277	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	25649	36190	+							GCU45_RS00070	10542		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	25649	36190	+	WP_167527033.1	WP_167527033.1		SDR family NAD(P)-dependent oxidoreductase			GCU45_RS00070	10542	3513	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	36187	54489	+							GCU45_RS00075	18303		
CDS	with_protein	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	36187	54489	+	WP_152397565.1	WP_152397565.1		SDR family NAD(P)-dependent oxidoreductase			GCU45_RS00075	18303	6100	
gene	protein_coding	GCF_009363095.1	Primary Assembly	chromosome		NZ_CP045295.1	54668	55249	+							GCU45_RS00080	582		
