# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	101	805	+							GZH47_RS00005	705		old_locus_tag=GZH47_00005
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	101	805	+	WP_162637938.1	WP_162637938.1		serine protease			GZH47_RS00005	705	234	
gene	pseudogene	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	1194	2457	+							GZH47_RS00010	1264		pseudo;old_locus_tag=GZH47_00010
CDS	without_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	1194	2457	+				IS110 family transposase			GZH47_RS00010	1264		pseudo
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	2873	3208	-							GZH47_RS00015	336		old_locus_tag=GZH47_00015
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	2873	3208	-	WP_162637939.1	WP_162637939.1		hypothetical protein			GZH47_RS00015	336	111	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	3205	3570	-							GZH47_RS00020	366		old_locus_tag=GZH47_00020
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	3205	3570	-	WP_162637940.1	WP_162637940.1		hypothetical protein			GZH47_RS00020	366	121	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	3749	4537	-							GZH47_RS00025	789		old_locus_tag=GZH47_00025
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	3749	4537	-	WP_162637941.1	WP_162637941.1		sugar phosphate isomerase/epimerase			GZH47_RS00025	789	262	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	4648	5208	-							GZH47_RS00030	561		old_locus_tag=GZH47_00030
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	4648	5208	-	WP_162637942.1	WP_162637942.1		AAA family ATPase			GZH47_RS00030	561	186	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	5496	5852	-							GZH47_RS00035	357		old_locus_tag=GZH47_00035
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	5496	5852	-	WP_162637943.1	WP_162637943.1		hypothetical protein			GZH47_RS00035	357	118	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	6123	6770	-							GZH47_RS00040	648		old_locus_tag=GZH47_00040
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	6123	6770	-	WP_225446609.1	WP_225446609.1		HAD family phosphatase			GZH47_RS00040	648	215	
gene	pseudogene	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	7114	7871	+							GZH47_RS00045	758		pseudo;old_locus_tag=GZH47_00045
CDS	without_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	7114	7871	+				IS110 family transposase			GZH47_RS00045	758		pseudo
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	8491	9348	-							GZH47_RS00050	858		old_locus_tag=GZH47_00050
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	8491	9348	-	WP_162637945.1	WP_162637945.1		hypothetical protein			GZH47_RS00050	858	285	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	9405	10481	-							GZH47_RS00055	1077		old_locus_tag=GZH47_00055
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	9405	10481	-	WP_162637946.1	WP_162637946.1		HAMP domain-containing protein			GZH47_RS00055	1077	358	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	10484	11176	-							GZH47_RS00060	693		old_locus_tag=GZH47_00060
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	10484	11176	-	WP_162637947.1	WP_162637947.1		response regulator transcription factor			GZH47_RS00060	693	230	
gene	pseudogene	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	11224	13674	-							GZH47_RS00065	2451		pseudo;old_locus_tag=GZH47_00065
CDS	without_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	11224	13674	-				heavy metal translocating P-type ATPase			GZH47_RS00065	2451		pseudo
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	13738	13941	-							GZH47_RS00070	204		old_locus_tag=GZH47_00070
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	13738	13941	-	WP_162637948.1	WP_162637948.1		cation transporter			GZH47_RS00070	204	67	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	13958	14287	-							GZH47_RS00075	330		old_locus_tag=GZH47_00075
CDS	with_protein	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	13958	14287	-	WP_162637949.1	WP_162637949.1		metal-sensitive transcriptional regulator			GZH47_RS00075	330	109	
gene	protein_coding	GCF_010365285.1	Primary Assembly	chromosome		NZ_CP048286.1	14678	15394	-							GZH47_RS00080	717		old_locus_tag=GZH47_00080
