,# Species,Genes,Alg.-Conn.,Aerococcus_christensenii.faa,Aerococcus_urina.faa,Aerococcus_urinaeequi.faa,Aerococcus_urinaehominis.faa,Aerococcus_viridans.faa,Anoxybacillus_amylolyticus.faa,Anoxybacillus_fermentans.faa,Anoxybacillus_gonensis.faa,Anoxybacillus_sediminis.faa,Anoxybacillus_сaldiproteolyticus.faa,Enterococcus_durans.faa,Enterococcus_faecium.faa,Enterococcus_gilvus.faa,Enterococcus_lactis.faa,Enterococcus_raffinosus.faa,Paenibacillus_cellulositrophicus.faa,Paenibacillus_lycopersici.faa,Paenibacillus_mucilaginosus.faa,Paenibacillus_rhizovicinus.faa,Paenibacillus_stellifer.faa,Staphylococcus_auricularis.faa,Staphylococcus_lutrae.faa,Staphylococcus_muscae.faa,Staphylococcus_pettenkoferi.faa,Staphylococcus_pseudintermedius.faa,Streptococcus_australis.faa,Streptococcus_cristatus.faa,Streptococcus_ferus.faa,Streptococcus_koreensis.faa,Streptococcus_sobrinus.faa,Thermoanaerobacter_brockii.faa,Thermoanaerobacter_italicus.faa,Thermoanaerobacter_kivui.faa,Thermoanaerobacter_mathranii.faa,Thermoanaerobacter_pseudethanolicus.faa,virgibacillius_dokdonensis.faa,virgibacillius_pantothenticus.faa,virgibacillius_phasianinus.faa,Thermoanaerobacter,Aerococcus,Anoxybacillus,Paenibacillus,Enterococcus,virgibacillius,Streptococcus,Staphylococcus,genes,taxons
781,30,38,0.168,WP_082632767.1,WP_230080674.1,WP_059348866.1,WP_067977355.1,WP_003140864.1,WP_035066194.1,WP_230077457.1,WP_127015531.1,WP_194519232.1,WP_066322786.1,*,*,WP_114525344.1,*,WP_010744641.1,WP_145028275.1,"WP_162359912.1,WP_162359193.1",WP_014649027.1,"WP_162642482.1,WP_162643239.1",WP_038699194.1,"QQA47507.1,QPT05333.1",WP_240622389.1,"QQA47507.1,SNW02719.1,QPT05333.1",ASE36065.1,QQA47507.1,*,*,*,*,*,WP_003866594.1,"WP_012995738.1,WP_012996167.1","WP_049685611.1,WP_049686029.1","WP_013150985.1,WP_013150681.1",WP_003866594.1,lcl|CP017962.1_prot_APC49126.1_2585,lcl|CP017962.1_prot_APC49126.1_2585,lcl|CP022315.1_prot_ASK62730.1_2236,0,2,0,1,0,1,0,1,0,4
1000,31,34,0.196,*,WP_060778252.1,WP_059349088.1,*,WP_003141985.1,WP_035067814.1,WP_171567560.1,WP_127016758.1,WP_194519410.1,WP_066322135.1,*,*,*,*,*,WP_152399690.1,WP_162354797.1,WP_014653016.1,WP_225446093.1,WP_038692872.1,"QPT06381.1,QQA48361.1",WP_085237532.1,"QPT06381.1,QQA48361.1,SNV98856.1",ASE37482.1,QQA48361.1,WP_164555447.1,WP_005591264.1,WP_018029857.1,WP_120701346.1,WP_019768887.1,WP_003867819.1,WP_012995969.1,WP_049685859.1,WP_012995969.1,WP_003867819.1,lcl|CP017962.1_prot_APC46779.1_93,lcl|CP017962.1_prot_APC46779.1_93,lcl|CP022315.1_prot_ASK61686.1_1076,0,2,0,1,0,1,0,1,0,4
1145,38,43,0.15,WP_060777257.1,WP_060779070.1,WP_059348985.1,WP_067980126.1,WP_003140950.1,WP_009361689.1,WP_230076730.1,WP_127016416.1,WP_194518983.1,WP_066326406.1,WP_081134888.1,WP_002289088.1,WP_114524979.1,WP_002328905.1,"WP_010745390.1,WP_218257662.1",WP_152398555.1,WP_162360574.1,WP_014652503.1,WP_162644207.1,WP_038697893.1,"QPT07049.1,QQA49591.1",WP_085236062.1,"QPT07049.1,QQA49591.1,SNW02338.1",ASE36238.1,QQA49591.1,WP_126403720.1,WP_005591595.1,WP_018030507.1,WP_061564669.1,"WP_109833714.1,WP_109833611.1",WP_012269140.1,WP_012995569.1,WP_049685505.1,WP_013150557.1,WP_012269140.1,lcl|CP017962.1_prot_APC48170.1_1575,lcl|CP017962.1_prot_APC48170.1_1575,lcl|CP022315.1_prot_ASK63098.1_2632,0,1,0,4,4,0,3,0,0,4
1304,38,41,0.357,WP_060776901.1,WP_060778594.1,WP_059349113.1,WP_074572475.1,WP_003142354.1,WP_019417166.1,WP_171566573.1,WP_127016168.1,WP_194519653.1,WP_066323090.1,WP_005879005.1,WP_002289592.1,WP_114524092.1,WP_002328916.1,WP_218256970.1,WP_076170633.1,WP_162356141.1,WP_013920366.1,WP_162639497.1,WP_038694694.1,"QPT06873.1,QQA49345.1",WP_085236432.1,"SNW03101.1,QQA49345.1,QPT06873.1",ASE36418.1,QQA49345.1,WP_126404691.1,WP_005592409.1,WP_018030355.1,WP_023027147.1,WP_019769005.1,WP_003867100.1,WP_012994374.1,WP_003869071.1,WP_013149715.1,WP_003867100.1,lcl|CP017962.1_prot_APC47383.1_735,lcl|CP017962.1_prot_APC47383.1_735,lcl|CP022315.1_prot_ASK60933.1_249,0,1,0,4,3,0,0,3,0,4
1374,38,41,0.374,WP_060777424.1,WP_060777878.1,WP_059348622.1,WP_067977922.1,WP_003143312.1,WP_009732846.1,WP_212131881.1,WP_127016291.1,WP_181554973.1,WP_066323686.1,WP_081135038.1,WP_002287379.1,WP_114525379.1,WP_002293055.1,WP_010745317.1,WP_145023726.1,WP_162358260.1,WP_013919577.1,WP_162644430.1,WP_038695553.1,"QQA47693.1,QPT05503.1",WP_085238112.1,"QQA47693.1,SNW01774.1,QPT05503.1",ASE35891.1,QQA47693.1,WP_126404889.1,WP_005591651.1,WP_018030635.1,WP_023024512.1,WP_002960932.1,WP_012269388.1,WP_012995355.1,WP_236617464.1,WP_013150383.1,WP_012269388.1,lcl|CP017962.1_prot_APC48678.1_2113,lcl|CP017962.1_prot_APC48678.1_2113,lcl|CP022315.1_prot_ASK63543.1_3106,0,2,0,3,2,0,3,0,0,4
1383,38,41,0.172,WP_060777277.1,WP_060778207.1,WP_059348946.1,WP_067977586.1,WP_003141026.1,WP_035065820.1,WP_212132455.1,WP_127015713.1,WP_181554895.1,WP_066323908.1,WP_005875929.1,WP_002294136.1,WP_114524622.1,WP_002308899.1,WP_218255947.1,WP_152402268.1,WP_162357174.1,WP_013919455.1,WP_162638652.1,WP_038696675.1,"QPT05460.1,QQA47640.1",WP_085238157.1,"QPT05460.1,QQA47640.1,SNW01913.1",ASE37963.1,QQA47640.1,WP_006595030.1,WP_005592263.1,WP_018030755.1,WP_023022155.1,WP_019770545.1,WP_003869140.1,WP_012995252.1,WP_049685243.1,WP_012995252.1,WP_003869140.1,lcl|CP017962.1_prot_APC48599.1_2031,lcl|CP017962.1_prot_APC48599.1_2031,lcl|CP022315.1_prot_ASK63491.1_3050,0,2,0,2,0,0,1,3,0,4
1426,38,41,0.352,WP_060776443.1,WP_060777769.1,WP_059348535.1,WP_067979511.1,WP_003143072.1,WP_035067845.1,WP_171567361.1,WP_127017782.1,WP_181557369.1,WP_066322221.1,WP_095443588.1,WP_002294001.1,WP_114524952.1,WP_002293591.1,WP_010745453.1,WP_116234472.1,WP_162354752.1,WP_014372595.1,WP_162641112.1,WP_038692829.1,"QQA48386.1,QPT06357.1",WP_085237509.1,"QQA48386.1,SNV98727.1,QPT06357.1",ASE37452.1,QQA48386.1,WP_126404894.1,WP_005591646.1,WP_026161963.1,WP_120701544.1,WP_019777684.1,WP_003867342.1,WP_012994275.1,WP_049684317.1,WP_013149604.1,WP_003867342.1,lcl|CP017962.1_prot_APC46741.1_55,lcl|CP017962.1_prot_APC46741.1_55,lcl|CP022315.1_prot_1116,0,1,0,4,0,0,1,2,0,4
1438,38,41,0.133,WP_060776997.1,WP_060778052.1,WP_059349022.1,WP_067979955.1,WP_003143454.1,WP_035065342.1,WP_230076629.1,WP_127017978.1,WP_194519070.1,WP_066327640.1,WP_095443794.1,WP_156264956.1,WP_114524540.1,WP_002329063.1,WP_218255748.1,WP_152400976.1,WP_162356185.1,WP_041618205.1,WP_162639447.1,WP_038694856.1,"QPT06987.1,QQA49529.1",WP_085236172.1,"QPT06987.1,QQA49529.1,SNW02105.1",ASE36308.1,QQA49529.1,WP_126404043.1,WP_005590684.1,WP_018029700.1,WP_120702117.1,WP_019790799.1,WP_012269130.1,WP_012995610.1,WP_049685526.1,WP_013150583.1,WP_012269130.1,lcl|CP017962.1_prot_APC48039.1_1438,lcl|CP017962.1_prot_APC48039.1_1438,lcl|CP022315.1_prot_ASK62978.1_2506,0,2,0,2,1,0,0,1,0,4
1460,38,41,0.416,WP_060776103.1,WP_060778309.1,WP_059348918.1,WP_067977171.1,WP_003142745.1,WP_009361697.1,WP_171565434.1,WP_127016423.1,WP_181554532.1,WP_066326414.1,WP_005877314.1,WP_002289097.1,WP_114524974.1,WP_002291377.1,WP_010745396.1,WP_145023269.1,WP_162358465.1,WP_013920062.1,WP_162644201.1,WP_038697925.1,"QQA49586.1,QPT07045.1",WP_085236076.1,"QQA49586.1,QPT07045.1,SNW02285.1",ASE36244.1,QQA49586.1,WP_023027608.1,WP_005591246.1,WP_026161954.1,WP_120701324.1,WP_109833713.1,WP_012269278.1,WP_012269278.1,WP_049685092.1,WP_012269278.1,WP_012269278.1,lcl|CP017962.1_prot_APC48165.1_1570,lcl|CP017962.1_prot_APC48165.1_1570,lcl|CP022315.1_prot_ASK63093.1_2627,0,1,1,1,0,0,0,2,0,4
1473,38,41,0.508,WP_060776347.1,WP_060777881.1,WP_173636798.1,WP_067980853.1,WP_172545094.1,WP_019418385.1,WP_230077135.1,WP_236777884.1,WP_194519952.1,WP_066323696.1,WP_081133721.1,WP_002289723.1,WP_114525284.1,WP_002290465.1,WP_010747187.1,WP_152398371.1,WP_192043499.1,WP_041618497.1,WP_192043664.1,WP_038695560.1,"QPT05498.1,QQA47688.1",WP_085238117.1,"SNW01791.1,QPT05498.1,QQA47688.1",ASE35895.1,QQA47688.1,WP_126403782.1,WP_005591748.1,WP_018030784.1,WP_120701248.1,WP_019771213.1,WP_013570813.1,WP_012995349.1,WP_049685311.1,WP_013150380.1,WP_013570813.1,lcl|CP017962.1_prot_APC48672.1_2107,lcl|CP017962.1_prot_APC48672.1_2107,lcl|CP022315.1_prot_ASK63537.1_3100,0,1,0,2,1,0,0,3,0,4
