# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	67	249	-							APT62_RS00005	183		old_locus_tag=APT62_00005
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	67	249	-	WP_159025921.1	WP_159025921.1		hypothetical protein			APT62_RS00005	183	60	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	963	1994	+							APT62_RS00010	1032		old_locus_tag=APT62_00010
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	963	1994	+	WP_016897206.1	WP_016897206.1		ABC transporter ATP-binding protein			APT62_RS00010	1032	343	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	1994	2950	+							APT62_RS00015	957		old_locus_tag=APT62_00015
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	1994	2950	+	WP_016897205.1	WP_016897205.1		ATP-binding cassette domain-containing protein			APT62_RS00015	957	318	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	2952	3914	+							APT62_RS00020	963		old_locus_tag=APT62_00020
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	2952	3914	+	WP_026465547.1	WP_026465547.1		ABC transporter permease			APT62_RS00020	963	320	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	3932	4849	+							APT62_RS00025	918		old_locus_tag=APT62_00025
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	3932	4849	+	WP_016897203.1	WP_016897203.1		ABC transporter permease			APT62_RS00025	918	305	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	4900	6708	+							APT62_RS00030	1809		old_locus_tag=APT62_00030
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	4900	6708	+	WP_059348288.1	WP_059348288.1		oligopeptide ABC transporter substrate-binding protein			APT62_RS00030	1809	602	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	7111	8145	+							APT62_RS00035	1035		old_locus_tag=APT62_00035
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	7111	8145	+	WP_003142898.1	WP_003142898.1		branched-chain amino acid aminotransferase			APT62_RS00035	1035	344	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	8223	9290	+							APT62_RS00040	1068		old_locus_tag=APT62_00040
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	8223	9290	+	WP_026465544.1	WP_026465544.1		iron-containing alcohol dehydrogenase family protein			APT62_RS00040	1068	355	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	9449	9829	+							APT62_RS00045	381		old_locus_tag=APT62_00045
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	9449	9829	+	WP_026465543.1	WP_026465543.1		VOC family protein			APT62_RS00045	381	126	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	9892	10128	-					rpsR		APT62_RS00050	237		old_locus_tag=APT62_00050
CDS	with_protein	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	9892	10128	-	WP_026465542.1	WP_026465542.1		30S ribosomal protein S18	rpsR		APT62_RS00050	237	78	
gene	protein_coding	GCF_001518795.1	Primary Assembly	chromosome		NZ_CP013988.1	10155	10703	-					ssb		APT62_RS00055	549		old_locus_tag=APT62_00055
