# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	2008379	772	-					metG		D7D50_RS00005	1992		old_locus_tag=D7D50_00005
CDS	with_protein	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	2008379	772	-	WP_120701150.1	WP_120701150.1		methionine--tRNA ligase	metG		D7D50_RS00005	1992	663	
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	1036	1728	-							D7D50_RS00010	693		old_locus_tag=D7D50_00010
CDS	with_protein	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	1036	1728	-	WP_120701151.1	WP_120701151.1		phosphoglycerate mutase			D7D50_RS00010	693	230	
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	1987	2448	-							D7D50_RS00015	462		old_locus_tag=D7D50_00015
CDS	with_protein	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	1987	2448	-	WP_023022509.1	WP_023022509.1		transcriptional repressor			D7D50_RS00015	462	153	
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	2726	2881	-							D7D50_RS10115	156		
CDS	with_protein	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	2726	2881	-	WP_165852116.1	WP_165852116.1		hypothetical protein			D7D50_RS10115	156	51	
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	3001	3276	-							D7D50_RS00025	276		old_locus_tag=D7D50_00025
CDS	with_protein	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	3001	3276	-	WP_006596762.1	WP_006596762.1		HU family DNA-binding protein			D7D50_RS00025	276	91	
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	3411	4244	-							D7D50_RS00030	834		old_locus_tag=D7D50_00030
CDS	with_protein	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	3411	4244	-	WP_120701152.1	WP_120701152.1		DegV family protein			D7D50_RS00030	834	277	
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	4328	5059	-							D7D50_RS00035	732		old_locus_tag=D7D50_00035
CDS	with_protein	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	4328	5059	-	WP_023022505.1	WP_023022505.1		metallophosphoesterase			D7D50_RS00035	732	243	
gene	protein_coding	GCF_003627135.1	Primary Assembly	chromosome		NZ_CP032620.1	5076	6740	-					recN		D7D50_RS00040	1665		old_locus_tag=D7D50_00040
