# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	1	1356	+					dnaA		DQL21_RS00005	1356		old_locus_tag=NCTC12278_00001
CDS	with_protein	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	1	1356	+	WP_018030409.1	WP_018030409.1		chromosomal replication initiator protein DnaA	dnaA		DQL21_RS00005	1356	451	
gene	protein_coding	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	1509	2645	+					dnaN		DQL21_RS00010	1137		old_locus_tag=NCTC12278_00002
CDS	with_protein	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	1509	2645	+	WP_018030408.1	WP_018030408.1		DNA polymerase III subunit beta	dnaN		DQL21_RS00010	1137	378	
gene	protein_coding	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	2708	2899	+							DQL21_RS00015	192		old_locus_tag=NCTC12278_00003
CDS	with_protein	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	2708	2899	+	WP_018030407.1	WP_018030407.1		DUF951 family protein			DQL21_RS00015	192	63	
gene	protein_coding	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	2994	3518	+							DQL21_RS00020	525		old_locus_tag=NCTC12278_00004
CDS	with_protein	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	2994	3518	+	WP_018030406.1	WP_018030406.1		RDD family protein			DQL21_RS00020	525	174	
gene	protein_coding	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	3612	4727	+					ychF		DQL21_RS00025	1116		old_locus_tag=NCTC12278_00005
CDS	with_protein	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	3612	4727	+	WP_018030405.1	WP_018030405.1		redox-regulated ATPase YchF	ychF		DQL21_RS00025	1116	371	
gene	protein_coding	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	4793	5362	+					pth		DQL21_RS00030	570		old_locus_tag=NCTC12278_00006
CDS	with_protein	GCF_900475025.1	Primary Assembly	chromosome	1	NZ_LS483343.1	4793	5362	+	WP_018030404.1	WP_018030404.1		aminoacyl-tRNA hydrolase	pth		DQL21_RS00030	570	189	
