# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	1634007	1	-							AWM71_RS08380	915		old_locus_tag=AWM71_00005
CDS	with_protein	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	1634007	1	-	WP_060777406.1	WP_060777406.1		Ig-like domain-containing protein			AWM71_RS08380	915	304	
gene	protein_coding	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	1634866	1121	-							AWM71_RS00010	1176		old_locus_tag=AWM71_00010
CDS	with_protein	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	1634866	1121	-	WP_060777407.1	WP_060777407.1		hypothetical protein			AWM71_RS00010	1176	391	
gene	protein_coding	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	1118	18340	-							AWM71_RS00015	17223		old_locus_tag=AWM71_00015
CDS	with_protein	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	1118	18340	-	WP_162492231.1	WP_162492231.1		Rib/alpha-like domain-containing protein			AWM71_RS00015	17223	5740	
gene	protein_coding	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	18741	20243	+							AWM71_RS00025	1503		old_locus_tag=AWM71_00025
CDS	with_protein	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	18741	20243	+	WP_060776093.1	WP_060776093.1		helix-turn-helix domain-containing protein			AWM71_RS00025	1503	500	
gene	protein_coding	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	20446	20877	+							AWM71_RS00030	432		old_locus_tag=AWM71_00030
CDS	with_protein	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	20446	20877	+	WP_060776094.1	WP_060776094.1		site-specific integrase			AWM71_RS00030	432	143	
gene	tRNA	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	21194	21264	-							AWM71_RS00035	71		old_locus_tag=AWM71_00035
tRNA		GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	21194	21264	-				tRNA-Gln			AWM71_RS00035	71		anticodon=CTG
gene	protein_coding	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	21441	22811	+							AWM71_RS00040	1371		old_locus_tag=AWM71_00040
CDS	with_protein	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	21441	22811	+	WP_236701128.1	WP_236701128.1		N-acetylmuramoyl-L-alanine amidase			AWM71_RS00040	1371	456	
gene	protein_coding	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	23032	23238	-							AWM71_RS07815	207		
CDS	with_protein	GCF_001543105.1	Primary Assembly	chromosome		NZ_CP014159.1	23032	23238	-	WP_082698927.1	WP_082698927.1		DNA topoisomerase			AWM71_RS07815	207	68	
