# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	6741989	322	-							GXP70_RS00005	1644		old_locus_tag=GXP70_00005
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	6741989	322	-	WP_162354590.1	WP_162354590.1		extracellular solute-binding protein			GXP70_RS00005	1644	547	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	371	1279	-							GXP70_RS00010	909		old_locus_tag=GXP70_00010
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	371	1279	-	WP_162354591.1	WP_162354591.1		carbohydrate ABC transporter permease			GXP70_RS00010	909	302	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	1295	2272	-							GXP70_RS00015	978		old_locus_tag=GXP70_00015
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	1295	2272	-	WP_162354592.1	WP_162354592.1		ABC transporter permease subunit			GXP70_RS00015	978	325	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	2795	3199	-							GXP70_RS00020	405		old_locus_tag=GXP70_00020
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	2795	3199	-	WP_162354593.1	WP_162354593.1		carboxymuconolactone decarboxylase family protein			GXP70_RS00020	405	134	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	3212	4843	-							GXP70_RS00025	1632		old_locus_tag=GXP70_00025
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	3212	4843	-	WP_162354594.1	WP_162354594.1		thiamine pyrophosphate-binding protein			GXP70_RS00025	1632	543	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	4868	7075	-							GXP70_RS00030	2208		old_locus_tag=GXP70_00030
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	4868	7075	-	WP_225442606.1	WP_225442606.1		EAL domain-containing protein			GXP70_RS00030	2208	735	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	7596	8333	-					pyrH		GXP70_RS00035	738		old_locus_tag=GXP70_00035
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	7596	8333	-	WP_162354596.1	WP_162354596.1		UMP kinase	pyrH		GXP70_RS00035	738	245	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	8575	9162	-							GXP70_RS29660	588		
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	8575	9162	-	WP_225442920.1	WP_225442920.1		MFS transporter			GXP70_RS29660	588	195	
gene	pseudogene	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	9284	9778	-							GXP70_RS29665	495		partial;pseudo
CDS	without_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	9284	9778	-				MFS transporter			GXP70_RS29665	495		partial;pseudo
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	9923	10804	+							GXP70_RS00045	882		old_locus_tag=GXP70_00045
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	9923	10804	+	WP_162354598.1	WP_162354598.1		LysR family transcriptional regulator			GXP70_RS00045	882	293	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	10972	12255	-							GXP70_RS00050	1284		old_locus_tag=GXP70_00050
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	10972	12255	-	WP_162354599.1	WP_162354599.1		FAD-dependent oxidoreductase			GXP70_RS00050	1284	427	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	12427	13443	-							GXP70_RS00055	1017		old_locus_tag=GXP70_00055
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	12427	13443	-	WP_162354600.1	WP_162354600.1		SDR family oxidoreductase			GXP70_RS00055	1017	338	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	13737	14381	+							GXP70_RS00060	645		old_locus_tag=GXP70_00060
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	13737	14381	+	WP_162354601.1	WP_162354601.1		S-layer homology domain-containing protein			GXP70_RS00060	645	214	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	14468	15151	-							GXP70_RS00065	684		old_locus_tag=GXP70_00065
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	14468	15151	-	WP_225442607.1	WP_225442607.1		RNA 2'-phosphotransferase			GXP70_RS00065	684	227	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	15283	16500	-							GXP70_RS00070	1218		old_locus_tag=GXP70_00070
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	15283	16500	-	WP_162354602.1	WP_162354602.1		MFS transporter			GXP70_RS00070	1218	405	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	16701	17723	-							GXP70_RS00075	1023		old_locus_tag=GXP70_00075
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	16701	17723	-	WP_162354603.1	WP_162354603.1		hydroxyacid dehydrogenase			GXP70_RS00075	1023	340	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	17755	18597	-							GXP70_RS00080	843		old_locus_tag=GXP70_00080
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	17755	18597	-	WP_162354604.1	WP_162354604.1		PmoA family protein			GXP70_RS00080	843	280	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	18618	19721	-							GXP70_RS00085	1104		old_locus_tag=GXP70_00085
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	18618	19721	-	WP_162354605.1	WP_162354605.1		Gfo/Idh/MocA family oxidoreductase			GXP70_RS00085	1104	367	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	19864	21039	+							GXP70_RS00090	1176		old_locus_tag=GXP70_00090
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	19864	21039	+	WP_162354606.1	WP_162354606.1		DNA-binding transcriptional regulator			GXP70_RS00090	1176	391	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	20978	22000	-							GXP70_RS00095	1023		old_locus_tag=GXP70_00095
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	20978	22000	-	WP_162354607.1	WP_162354607.1		NAD-dependent epimerase/dehydratase family protein			GXP70_RS00095	1023	340	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	22037	23230	-							GXP70_RS00100	1194		old_locus_tag=GXP70_00100
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	22037	23230	-	WP_162354608.1	WP_162354608.1		glycine C-acetyltransferase			GXP70_RS00100	1194	397	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	23366	23917	+							GXP70_RS00105	552		old_locus_tag=GXP70_00105
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	23366	23917	+	WP_162354609.1	WP_162354609.1		XRE family transcriptional regulator			GXP70_RS00105	552	183	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	24222	24698	+							GXP70_RS00110	477		old_locus_tag=GXP70_00110
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	24222	24698	+	WP_162354610.1	WP_162354610.1		hypothetical protein			GXP70_RS00110	477	158	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	24723	25496	+							GXP70_RS00115	774		old_locus_tag=GXP70_00115
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	24723	25496	+	WP_162354611.1	WP_162354611.1		hypothetical protein			GXP70_RS00115	774	257	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	25589	26455	+							GXP70_RS00120	867		old_locus_tag=GXP70_00120
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	25589	26455	+	WP_162354612.1	WP_162354612.1		hypothetical protein			GXP70_RS00120	867	288	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	26496	27071	+					lepB		GXP70_RS00125	576		old_locus_tag=GXP70_00125
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	26496	27071	+	WP_162354613.1	WP_162354613.1		signal peptidase I	lepB		GXP70_RS00125	576	191	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	27127	27768	-							GXP70_RS00130	642		old_locus_tag=GXP70_00130
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	27127	27768	-	WP_162354614.1	WP_162354614.1		response regulator transcription factor			GXP70_RS00130	642	213	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	28033	29448	+							GXP70_RS00135	1416		old_locus_tag=GXP70_00135
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	28033	29448	+	WP_162354615.1	WP_162354615.1		sensor histidine kinase			GXP70_RS00135	1416	471	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	29441	29866	+							GXP70_RS00140	426		old_locus_tag=GXP70_00140
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	29441	29866	+	WP_162354616.1	WP_162354616.1		response regulator transcription factor			GXP70_RS00140	426	141	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	29863	30984	+							GXP70_RS00145	1122		old_locus_tag=GXP70_00145
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	29863	30984	+	WP_162354617.1	WP_162354617.1		hypothetical protein			GXP70_RS00145	1122	373	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	31015	32874	-							GXP70_RS00150	1860		old_locus_tag=GXP70_00150
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	31015	32874	-	WP_225442608.1	WP_225442608.1		site-specific DNA-methyltransferase			GXP70_RS00150	1860	619	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	33142	35559	-							GXP70_RS00155	2418		old_locus_tag=GXP70_00155
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	33142	35559	-	WP_162354618.1	WP_162354618.1		UvrD-helicase domain-containing protein			GXP70_RS00155	2418	805	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	36042	37271	+							GXP70_RS00160	1230		old_locus_tag=GXP70_00160
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	36042	37271	+	WP_162354619.1	WP_162354619.1		MFS transporter			GXP70_RS00160	1230	409	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	37759	39720	-							GXP70_RS00165	1962		old_locus_tag=GXP70_00165
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	37759	39720	-	WP_162354620.1	WP_162354620.1		TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein			GXP70_RS00165	1962	653	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	39892	40677	-							GXP70_RS00170	786		old_locus_tag=GXP70_00170
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	39892	40677	-	WP_162354621.1	WP_162354621.1		DeoR/GlpR family DNA-binding transcription regulator			GXP70_RS00170	786	261	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	40905	42026	+					phnS		GXP70_RS00175	1122		old_locus_tag=GXP70_00175
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	40905	42026	+	WP_162354622.1	WP_162354622.1		2-aminoethylphosphonate ABC transporter substrate-binding protein	phnS		GXP70_RS00175	1122	373	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	41986	43074	+							GXP70_RS00180	1089		old_locus_tag=GXP70_00180
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	41986	43074	+	WP_162354623.1	WP_162354623.1		ABC transporter ATP-binding protein			GXP70_RS00180	1089	362	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	43061	44776	+							GXP70_RS00185	1716		old_locus_tag=GXP70_00185
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	43061	44776	+	WP_162354624.1	WP_162354624.1		2-aminoethylphosphonate ABC transporter permease subunit			GXP70_RS00185	1716	571	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	44766	45590	+							GXP70_RS00190	825		old_locus_tag=GXP70_00190
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	44766	45590	+	WP_162354625.1	WP_162354625.1		phosphonoacetaldehyde hydrolase			GXP70_RS00190	825	274	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	45587	46714	+					phnW		GXP70_RS00195	1128		old_locus_tag=GXP70_00195
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	45587	46714	+	WP_162354626.1	WP_162354626.1		2-aminoethylphosphonate--pyruvate transaminase	phnW		GXP70_RS00195	1128	375	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	46895	47635	-							GXP70_RS00200	741		old_locus_tag=GXP70_00200
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	46895	47635	-	WP_162354627.1	WP_162354627.1		SDR family oxidoreductase			GXP70_RS00200	741	246	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	47837	48436	-							GXP70_RS00205	600		old_locus_tag=GXP70_00205
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	47837	48436	-	WP_162354628.1	WP_162354628.1		TetR family transcriptional regulator			GXP70_RS00205	600	199	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	48673	48939	-							GXP70_RS00210	267		old_locus_tag=GXP70_00210
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	48673	48939	-	WP_192043456.1	WP_192043456.1		metal-sensitive transcriptional regulator			GXP70_RS00210	267	88	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	49595	51154	-							GXP70_RS00215	1560		old_locus_tag=GXP70_00215
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	49595	51154	-	WP_225442609.1	WP_225442609.1		ABC transporter substrate-binding protein			GXP70_RS00215	1560	519	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	51161	51922	-							GXP70_RS00220	762		old_locus_tag=GXP70_00220
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	51161	51922	-	WP_162354630.1	WP_162354630.1		response regulator			GXP70_RS00220	762	253	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	51915	53657	-							GXP70_RS00225	1743		old_locus_tag=GXP70_00225
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	51915	53657	-	WP_162354631.1	WP_162354631.1		sensor histidine kinase			GXP70_RS00225	1743	580	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	53813	55318	-							GXP70_RS00230	1506		old_locus_tag=GXP70_00230
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	53813	55318	-	WP_162354632.1	WP_162354632.1		ABC transporter substrate-binding protein			GXP70_RS00230	1506	501	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	55424	56353	-							GXP70_RS00235	930		old_locus_tag=GXP70_00235
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	55424	56353	-	WP_162354633.1	WP_162354633.1		carbohydrate ABC transporter permease			GXP70_RS00235	930	309	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	56369	57313	-							GXP70_RS00240	945		old_locus_tag=GXP70_00240
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	56369	57313	-	WP_162354634.1	WP_162354634.1		ABC transporter permease subunit			GXP70_RS00240	945	314	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	58363	58791	-							GXP70_RS00245	429		old_locus_tag=GXP70_00245
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	58363	58791	-	WP_225442610.1	WP_225442610.1		hotdog fold thioesterase			GXP70_RS00245	429	142	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	58868	59824	-							GXP70_RS00250	957		old_locus_tag=GXP70_00250
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	58868	59824	-	WP_162354635.1	WP_162354635.1		DMT family transporter			GXP70_RS00250	957	318	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	60139	60624	-							GXP70_RS00255	486		old_locus_tag=GXP70_00255
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	60139	60624	-	WP_162354636.1	WP_162354636.1		nitroreductase family protein			GXP70_RS00255	486	161	
gene	protein_coding	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	60802	61362	-							GXP70_RS00260	561		old_locus_tag=GXP70_00260
CDS	with_protein	GCF_010119935.1	Primary Assembly	chromosome		NZ_CP048209.1	60802	61362	-	WP_162354637.1	WP_162354637.1		nitroreductase			GXP70_RS00260	561	186	
